contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,5,28,1150,E14787-1150,489,27,0,0,0,0,0,0,0,51735,516
700,5,29,1165,E14725-1165M,12,10,57,10,257,0,267,0,0,36270,346
700,5,30,1285,E14817-1285T,466,1,0,0,0,0,0,0,0,46705,467
700,5,31,1270,E14612-1270M,573,0,0,0,0,0,0,0,0,57300,573
700,5,32,1270,E14125-1270T,106,0,0,0,0,0,0,0,0,10600,106
700,5,33,1150,E14829-1150,431,44,69,31,0,0,31,0,0,58220,575
700,5,34,1150,E14827-1150,189,215,50,7,52,0,59,0,0,52920,513
700,5,35,1165,E14735-1165M,29,96,144,231,266,0,497,0,0,80285,766
700,5,36,1270,E14828-1270,198,0,0,0,0,0,0,0,0,19800,198
700,5,37,1270,E14814-1270M,570,12,0,0,0,0,0,0,0,58260,582
700,5,38,1495,E14833-1495M,218,0,0,0,0,0,0,0,0,21800,218
700,5,39,1150,E14834-1150M,131,81,0,1,0,0,1,0,0,21710,213
700,5,40,1150,E14836-1150M,0,16,8,0,0,0,0,0,0,2520,24
700,5,41,1150,E14832-1150,3,5,181,8,169,0,177,0,0,38415,366
700,5,42,1270,E14821-1270T,210,0,0,0,0,0,0,0,0,21000,210
700,5,43,1150,E14822-1150M,0,3,143,3,199,0,202,0,0,36540,348
700,5,44,1495,E14839-1495M,80,0,0,0,0,0,0,0,0,8000,80
700,6,1,1510,Other-1510,1051,0,0,0,0,0,0,0,0,105100,1051
700,6,2,1345,other-1345,46,3,0,0,0,0,0,0,0,4915,49
700,6,3,1450,Other-1450,0,1,0,0,0,0,0,0,0,105,1
700,6,4,1450,West-Dump,82,0,0,0,0,0,0,0,0,8200,82
700,6,5,1150,Other-1150,61,0,10,0,0,0,0,0,0,7150,71
700,6,6,1135,other-1135,0,0,8,0,6,0,6,0,0,1470,14
700,6,7,1150,E14748-1150,641,34,73,0,157,0,157,0,0,91820,905
700,6,8,1150,E14834-1150M,167,67,319,76,26,0,102,0,0,67940,655
700,6,9,1150,E14836-1150M,51,28,301,0,243,0,243,0,0,65160,623
700,6,10,1150,E14832-1150,19,77,222,99,128,0,227,0,0,57130,545
700,6,11,1270,E14821-1270T,173,0,0,0,0,0,0,0,0,17300,173
700,6,12,1150,E14822-1150M,17,0,89,12,336,0,348,0,0,47585,454
700,6,13,1495,E14839-1495M,387,0,0,0,0,0,0,0,0,38700,387
700,6,14,1270,E14738-1270T,300,158,68,193,76,0,269,0,0,81975,795
700,6,15,1270,E14838-1270T,812,0,0,0,0,0,0,0,0,81200,812
